team,pick_year,round,expected_pick_number,protection_note
Minnesota Timberwolves,2026,1,,Less favorable of MIN 1-19 and UTH 1-8; less favorable of MIN 20-30 and DET then other to DET; less favorable of CLE and more favorable of MIN and UTH 1-8 to CLE then most favorable of all to UTH (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via DET swap for MIN)
Minnesota Timberwolves,2026,2,,"Less favorable of MIN and NYK to NYK; most favorable of MIN, NYK, NOP and POR to CHI; less favorable of more favorable of MIN and NYK and more favorable of NOP and POR to WAS; Least favorable of IND, MIA and SAN"
Minnesota Timberwolves,2027,1,,"Most favorable of MIN, CLE and UTH to MEM; second most favorable to UTH and least favorable to PHX (via UTH)"
Minnesota Timberwolves,2027,2,,To POR (via HOU to OKC to NYK)
Minnesota Timberwolves,2028,1,,Own
Minnesota Timberwolves,2028,2,,To SAN
Minnesota Timberwolves,2029,1,,"1-5 Own; most / two most favorable of MIN 6-30, CLE and UTH to UTH then other to CHA (via UTH to PHX)"
Minnesota Timberwolves,2029,2,,To UTH if MIN does not convey 1st round pick to UTH in 2029
Minnesota Timberwolves,2030,1,,1 Own; less favorable of MIN 2-30 and more favorable of SAN and DAL then most / more favorable of all to SAN (via SAN swap for DAL)
Minnesota Timberwolves,2030,2,,To DET; MEM 51-60
Minnesota Timberwolves,2031,1,,To SAC (via SAN)
Minnesota Timberwolves,2031,2,,More favorable of MIN and GOS to CHI then other to DET (via MIN swap for GOS)
Minnesota Timberwolves,2032,1,,Frozen (through 2027-28)
Minnesota Timberwolves,2032,2,,Own
New Orleans Pelicans,2026,1,,More favorable of NOP and MIL to ATL then other to MIL (via NOP swap for MIL)
New Orleans Pelicans,2026,2,,"Most favorable of NOP, POR, MIN and NYK to CHI; less favorable of NOP and POR to SAN; less favorable of more favorable of NOP and POR and more favorable of MIN and NYK to WAS; Least favorable of ORL, DET and MIL (via DET to LAC to ORL; via ORL to PHX to BRK to NYK to NOP)"
New Orleans Pelicans,2027,1,,More favorable of NOP and MIL then other to ATL if 5-30 or NOP and MIL if both 1-4 (via NOP)
New Orleans Pelicans,2027,2,,"More favorable of NOP and POR to CHA then other to POR [POR may convey to HOU] (via NOP); Second most favorable of OKC, HOU, IND and MIA (via HOU to DET to OKC to NYK)"
New Orleans Pelicans,2028,1,,Own
New Orleans Pelicans,2028,2,,To SAN
New Orleans Pelicans,2029,1,,Own
New Orleans Pelicans,2029,2,,To SAN
New Orleans Pelicans,2030,1,,Own
New Orleans Pelicans,2030,2,,Own or ORL (via ORL swap for NOP)
New Orleans Pelicans,2031,1,,Own
New Orleans Pelicans,2031,2,,More favorable of NOP and ORL to ORL then other to OKC (via ORL swap for NOP); TOR
New Orleans Pelicans,2032,1,,Own
New Orleans Pelicans,2032,2,,Own
New York Knicks,2026,1,,Own; WAS 9-30 (via HOU to OKC)
New York Knicks,2026,2,,"Less favorable of NYK and MIN; most favorable of NYK, MIN, NOP and POR to CHI; less favorable of more favorable of NYK and MIN and more favorable of NOP and POR to WAS; WAS if WAS does not convey 1st round pick to NYK in 2026"
New York Knicks,2027,1,,To BRK
New York Knicks,2027,2,,"Own; WAS if WAS does not convey 1st round pick to NYK in 2026; Third most favorable of OKC, HOU, IND and MIA"
New York Knicks,2028,1,,"Least or second most favorable of NYK, BRK and PHX (with conditions); complex swap details — see original"
New York Knicks,2028,2,,To DET; BOS 46-60 (via ORL to PHX); Less favorable of IND and PHX (via IND)
New York Knicks,2029,1,,To BRK
New York Knicks,2029,2,,"Two most favorable of NYK, DET and MIL to DET then other to CHI (via NYK to DET; via MIL to BRK to DET; via SAC to CHI)"
New York Knicks,2030,1,,Own
New York Knicks,2030,2,,To ATL (via POR)
New York Knicks,2031,1,,To BRK
New York Knicks,2031,2,,To CHI (via CHA)
New York Knicks,2032,1,,Own
New York Knicks,2032,2,,Own
Oklahoma City Thunder,2026,1,,"Most favorable of OKC, HOU 5-30 and LAC; second most / more favorable to PHL and least / less favorable to DAL; PHL 5-30; UTH 9-30"
Oklahoma City Thunder,2026,2,,"Most favorable of OKC, DAL and PHL; second most favorable to PHX and least favorable to WAS; HOU if HOU 1-4 in 2026"
Oklahoma City Thunder,2027,1,,"Two most / more favorable of OKC, DEN 6-30 and LAC then other to LAC; PHL 5-30 if not already settled; SAN 17-30 (via SAC)"
Oklahoma City Thunder,2027,2,,"Most favorable of OKC, HOU, IND and MIA to PHL; second most favorable to NOP and third most favorable to NYK; CHA if SAN 1-16 in 2027; SAC if SAN 1-16 in 2027; PHL if PHL has not conveyed 1st round pick to OKC by 2027"
Oklahoma City Thunder,2028,1,,Own or swap for DAL; DEN 6-30 if not already settled
Oklahoma City Thunder,2028,2,,To PHL; UTH
Oklahoma City Thunder,2029,1,,Own; DEN 6-30 if not already settled
Oklahoma City Thunder,2029,2,,Own; Less favorable of ATL and MIA; BOS; DEN if DEN has not conveyed a first potential 1st round pick to OKC by 2029
Oklahoma City Thunder,2030,1,,Own; DEN 6-30 if not already settled and if DEN has conveyed a first potential 1st round pick to OKC by 2028
Oklahoma City Thunder,2030,2,,Own; DEN (direct or via CHA); HOU; MIA
Oklahoma City Thunder,2031,1,,Own
Oklahoma City Thunder,2031,2,,Own; Less favorable of NOP and ORL (via ORL swap for NOP)
Oklahoma City Thunder,2032,1,,Own
Oklahoma City Thunder,2032,2,,Own
Orlando Magic,2026,1,,"Two most favorable of ORL, less favorable of PHX and WAS 1-8, and MEM to MEM then least favorable of all to CHA"
Orlando Magic,2026,2,,"Second most favorable of ORL, DET and MIL; most favorable to BOS and least favorable to NOP (via MIL to ORL; via DET to LAC to ORL)"
Orlando Magic,2027,1,,Own
